Number of Stars,Number of Planets,Number of Moons,Circumbinary Flag,Discovery Year,Detected by Radial Velocity Variations,Detected by Pulsar Timing Variations,Detected by Pulsation Timing Variations,Detected by Transits,Detected by Astrometric Variations,Detected by Orbital Brightness Modulations,Detected by Microlensing,Detected by Eclipse Timing Variations,Detected by Imaging,Detected by Disk Kinematics,Controversial Flag,Galactic Latitude [deg],Galactic Longitude [deg],Ecliptic Latitude [deg],Ecliptic Longitude [deg],Number of Photometry Time Series,Number of Radial Velocity Time Series,Number of Stellar Spectra Measurements,Number of Emission Spectroscopy Measurements,Number of Transmission Spectroscopy Measurements
1,3,0,0,2019,0,0,0,1,0,0,0,0,0,0,0,-49.1871,42.94366,-2.20455,328.32957,0,0,0,0,0
1,3,0,0,2021,0,0,0,1,0,0,0,0,0,0,0,-49.1871,42.94366,-2.20455,328.32957,0,0,0,0,0
1,3,0,0,2021,0,0,0,1,0,0,0,0,0,0,0,-49.1871,42.94366,-2.20455,328.32957,0,0,0,0,0
1,1,0,0,2019,0,0,0,1,0,0,0,0,0,0,0,-57.69594,50.70238,-5.52299,337.43296,0,0,0,0,0
1,2,0,0,2019,0,0,0,1,0,0,0,0,0,0,0,-54.37586,48.06541,-3.90104,334.17257,0,0,0,0,0
1,2,0,0,2021,0,0,0,1,0,0,0,0,0,0,0,-54.37586,48.06541,-3.90104,334.17257,0,0,0,0,0
1,1,0,0,2019,0,0,0,1,0,0,0,0,0,0,0,-50.28505,51.97463,0.78076,333.46039,0,0,0,0,0
1,2,0,0,2019,0,0,0,1,0,0,0,0,0,0,0,-51.54478,56.17023,1.30362,336.34311,0,0,0,0,0
1,2,0,0,2022,0,0,0,1,0,0,0,0,0,0,0,-51.54478,56.17023,1.30362,336.34311,0,0,0,0,0
1,1,0,0,2016,0,0,0,1,0,0,0,0,0,0,0,32.03739,208.28299,-0.60769,128.15632,0,0,0,0,0
1,1,0,0,2018,1,0,0,1,0,0,0,0,0,0,0,38.12775,208.78206,2.68664,133.29271,0,0,0,0,0
1,2,0,0,2019,0,0,0,1,0,0,0,0,0,0,0,43.14733,321.8192,-5.98289,211.53367,0,0,0,0,0
1,2,0,0,2016,0,0,0,1,0,0,0,0,0,0,0,43.14733,321.8192,-5.98289,211.53367,0,0,0,0,0
1,1,0,0,2019,0,0,0,1,0,0,0,0,0,0,0,47.50561,316.58254,-4.65298,205.96432,0,0,0,0,0
1,1,0,0,2019,0,0,0,1,0,0,0,0,0,0,0,49.05579,317.34866,-3.08631,205.50665,0,0,0,0,0
1,2,0,0,2019,0,0,0,1,0,0,0,0,0,0,0,50.09504,322.41694,-0.29021,207.52203,0,0,0,0,0
1,2,0,0,2016,0,0,0,1,0,0,0,0,0,0,0,50.09504,322.41694,-0.29021,207.52203,0,0,0,0,0
1,2,0,0,2021,0,0,0,1,0,0,0,0,0,0,0,49.04154,330.23401,2.28803,212.01058,0,0,0,0,0
1,2,0,0,2021,0,0,0,1,0,0,0,0,0,0,0,49.04154,330.23401,2.28803,212.01058,0,0,0,0,0
1,2,0,0,2019,0,0,0,1,0,0,0,0,0,0,0,53.83847,322.27085,2.5791,205.1154,0,0,0,0,0
1,2,0,0,2019,0,0,0,1,0,0,0,0,0,0,0,53.83847,322.27085,2.5791,205.1154,0,0,0,0,0
1,1,0,0,2021,0,0,0,1,0,0,0,0,0,0,0,-56.07199,129.88845,-0.49746,17.9687,0,0,0,0,0
1,2,0,0,2019,0,0,0,1,0,0,0,0,0,0,0,-54.87207,123.91754,2.06947,15.45937,0,0,0,0,0
1,2,0,0,2016,1,0,0,1,0,0,0,0,0,0,0,-52.07644,123.28442,4.78443,16.22269,0,0,0,0,0
1,2,0,0,2016,1,0,0,1,0,0,0,0,0,0,0,-52.07644,123.28442,4.78443,16.22269,0,0,0,0,0
1,1,0,0,2021,0,0,0,1,0,0,0,0,0,0,0,57.47166,296.84098,-1.03008,190.85725,0,0,0,0,0
1,1,0,0,2023,1,0,0,1,0,0,0,0,0,0,0,60.81426,289.77763,1.28515,186.50682,0,0,0,0,0
2,1,0,0,2018,1,0,0,1,0,0,0,0,0,0,0,-12.64088,186.97531,-6.74975,79.29037,0,0,0,0,0
1,1,0,0,2018,1,0,0,1,0,0,0,0,0,0,0,55.10278,232.28858,2.9375,156.53086,0,0,0,0,0
1,3,0,0,2020,1,0,0,1,0,0,0,0,0,0,0,34.30816,345.11043,1.15614,230.36713,0,0,0,0,0
1,3,0,0,2020,1,0,0,1,0,0,0,0,0,0,0,34.30816,345.11043,1.15614,230.36713,0,0,0,0,0
1,3,0,0,2020,1,0,0,1,0,0,0,0,0,0,0,34.30816,345.11043,1.15614,230.36713,0,0,0,0,0
1,1,0,0,2008,0,0,0,0,0,0,0,0,1,0,0,-16.9613,172.11406,3.41328,68.24652,0,0,0,0,0
1,2,0,0,2021,1,0,0,0,0,0,0,0,0,0,0,10.16235,106.14833,68.34109,26.91465,0,0,0,0,0
1,2,0,0,2021,1,0,0,0,0,0,0,0,0,0,0,10.16235,106.14833,68.34109,26.91465,0,0,0,0,0
1,1,0,0,2019,0,0,0,1,0,0,0,0,0,0,0,37.03563,206.06509,3.79417,131.14413,0,0,0,0,0
