Planet Name,Host Name,Number of Stars,Number of Planets,Number of Moons,Circumbinary Flag,Discovery Method,Discovery Year,Discovery Facility,Discovery Telescope,Discovery Instrument,Controversial Flag,Orbital Period [days],Orbital Period Limit Flag,Planet Radius [Earth Radius],Planet Radius Limit Flag,Planet Mass or Mass*sin(i) [Earth Mass],Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag,Planet Density [g/cm**3],Planet Density Limit Flag,Stellar Effective Temperature [K],Stellar Effective Temperature Limit Flag,Stellar Radius [Solar Radius],Stellar Radius Limit Flag,Stellar Mass [Solar mass],Stellar Mass Upper Unc. [Solar mass],Stellar Mass Lower Unc. [Solar mass],Stellar Mass Limit Flag,Stellar Luminosity [log(Solar)],Stellar Luminosity Limit Flag,Stellar Surface Gravity [log10(cm/s**2)],Stellar Surface Gravity Limit Flag,Galactic Latitude [deg],Galactic Longitude [deg],Ecliptic Latitude [deg],Ecliptic Longitude [deg],Total Proper Motion [mas/yr],Total Proper Motion Upper Unc [mas/yr],Total Proper Motion Lower Unc [mas/yr],Proper Motion (RA) [mas/yr],Proper Motion (RA) [mas/yr] Upper Unc,Proper Motion (RA) [mas/yr] Lower Unc,Proper Motion (Dec) [mas/yr],Proper Motion (Dec) [mas/yr] Upper Unc,Proper Motion (Dec) [mas/yr] Lower Unc,Distance [pc],Distance [pc] Upper Unc,Distance [pc] Lower Unc,B (Johnson) Magnitude,B (Johnson) Magnitude Upper Unc,B (Johnson) Magnitude Lower Unc,V (Johnson) Magnitude,V (Johnson) Magnitude Upper Unc,V (Johnson) Magnitude Lower Unc,J (2MASS) Magnitude,J (2MASS) Magnitude Upper Unc,J (2MASS) Magnitude Lower Unc,H (2MASS) Magnitude,H (2MASS) Magnitude Upper Unc,H (2MASS) Magnitude Lower Unc,Ks (2MASS) Magnitude,Ks (2MASS) Magnitude Upper Unc,Ks (2MASS) Magnitude Lower Unc,Gaia Magnitude,Gaia Magnitude Upper Unc,Gaia Magnitude Lower Unc,TESS Magnitude,TESS Magnitude Upper Unc,TESS Magnitude Lower Unc,Number of Photometry Time Series,Number of Radial Velocity Time Series,Number of Stellar Spectra Measurements,Number of Emission Spectroscopy Measurements,Number of Transmission Spectroscopy Measurements
Kepler-676 b,Kepler-676,1,1,0,0,Transit,2016,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,0,11.59822172,0.0,3.04,0.0,9.48,0.0,1.85,0.0,3701.0,0.0,0.49,0.0,0.51,0.02,-0.03,0.0,-1.295,0.0,4.77,0.0,12.67076,83.35181,69.03197,322.08535,33.3695721,0.0663152,-0.0663152,8.44455,0.0627346,-0.0627346,32.2834,0.0665532,-0.0665532,295.196,2.8065,-2.8065,18.122,0.162,-0.162,17.15,0.2,-0.2,13.474,0.023,-0.023,12.813,0.021,-0.021,12.628,0.027,-0.027,15.8791,0.000942,-0.000942,14.8109,0.0075107,-0.0075107,0,0,0,0,0
Kepler-677 b,Kepler-677,1,1,0,0,Transit,2016,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,0,6.57531678,0.0,5.38,0.0,25.0,0.0,0.882,0.0,5723.0,0.0,0.99,0.0,1.0,0.05,-0.05,0.0,0.39,0.0,4.45,0.0,16.2211,81.65877,70.84554,311.96392,10.9114069,0.0534781,-0.0534781,-5.24119,0.0515517,-0.0515517,-9.5702,0.0540425,-0.0540425,1954.08,109.21,-98.45,16.076,0.042,-0.042,15.504,0.057,-0.057,14.071,0.029,-0.029,13.793,0.041,-0.041,13.686,0.039,-0.039,15.297,0.000402,-0.000402,14.8143,0.0066,-0.0066,0,0,0,0,0
Kepler-678 b,Kepler-678,1,1,0,0,Transit,2016,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,0,7.27503724,0.0,5.14,0.0,23.1,0.0,0.935,0.0,5520.0,0.0,0.91,0.0,0.94,0.04,-0.05,0.0,0.449,0.0,4.5,0.0,13.20027,83.31207,69.45177,321.16819,10.450009,0.0485995,-0.0485995,-5.5503,0.0477382,-0.0477382,-8.8542,0.0489338,-0.0489338,1826.15,85.25,-78.1,15.758,0.117,-0.117,15.161,0.115,-0.115,13.732,0.022,-0.022,13.402,0.026,-0.026,13.26,0.034,-0.034,15.0614,0.000424,-0.000424,14.5168,0.0067,-0.0067,0,0,0,0,0
Kepler-679 b,Kepler-679,1,1,0,0,Transit,2016,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,0,12.39358604,0.0,3.01,0.0,9.32,0.0,1.88,0.0,5403.0,0.0,0.84,0.0,0.87,0.05,-0.05,0.0,-0.348,0.0,4.54,0.0,12.91313,83.54705,69.339,322.16127,5.394461,0.0624853,-0.0624853,-0.640432,0.0617603,-0.0617603,5.35631,0.0624956,-0.0624956,922.244,25.397,-24.094,16.495,0.065,-0.065,15.771,0.137,-0.137,14.196,0.025,-0.025,13.783,0.027,-0.027,13.692,0.05,-0.05,15.5291,0.000476,-0.000476,14.989,0.0065,-0.0065,0,0,0,0,0
Kepler-68 b,Kepler-68,2,4,0,0,Transit,2013,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,0,5.39875259,0.0,2.357,0.0,8.03,0.0,3.37,0.0,5847.0,0.0,1.26,0.0,1.06,0.02,-0.02,0.0,0.231,0.0,4.28,0.0,15.15359,80.69124,69.42897,312.03005,12.7501303,0.0450375,-0.0450375,-7.33369,0.0386537,-0.0386537,-10.4299,0.0478803,-0.0478803,144.166,0.436,-0.434,10.728,0.063,-0.063,10.077,0.004,-0.004,8.975,0.046,-0.046,8.662,0.029,-0.029,8.588,0.022,-0.022,9.93355,0.000313,-0.000313,9.50898,0.006,-0.006,0,3,0,0,3
Kepler-68 c,Kepler-68,2,4,0,0,Transit,2013,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,0,9.605027,0.0,0.979,0.0,1.3,1.0,7.5,1.0,5847.0,0.0,1.26,0.0,1.06,0.02,-0.02,0.0,0.231,0.0,4.28,0.0,15.15359,80.69124,69.42897,312.03005,12.7501303,0.0450375,-0.0450375,-7.33369,0.0386537,-0.0386537,-10.4299,0.0478803,-0.0478803,144.166,0.436,-0.434,10.728,0.063,-0.063,10.077,0.004,-0.004,8.975,0.046,-0.046,8.662,0.029,-0.029,8.588,0.022,-0.022,9.93355,0.000313,-0.000313,9.50898,0.006,-0.006,0,3,0,0,0
Kepler-68 d,Kepler-68,2,4,0,0,Radial Velocity,2013,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer,0,632.62,0.0,13.9,0.0,267.0,0.0,0.546,0.0,5847.0,0.0,1.26,0.0,1.06,0.02,-0.02,0.0,0.231,0.0,4.28,0.0,15.15359,80.69124,69.42897,312.03005,12.7501303,0.0450375,-0.0450375,-7.33369,0.0386537,-0.0386537,-10.4299,0.0478803,-0.0478803,144.166,0.436,-0.434,10.728,0.063,-0.063,10.077,0.004,-0.004,8.975,0.046,-0.046,8.662,0.029,-0.029,8.588,0.022,-0.022,9.93355,0.000313,-0.000313,9.50898,0.006,-0.006,0,3,0,0,0
Kepler-68 e,Kepler-68,2,4,0,0,Radial Velocity,2023,Roque de los Muchachos Observatory,3.58 m Telescopio Nazionale Galileo,HARPS-N Spectrograph,0,3455.0,0.0,11.2,0.0,86.44933,0.0,0.338,0.0,5847.0,0.0,1.26,0.0,1.06,0.02,-0.02,0.0,0.218,0.0,4.28,0.0,15.15359,80.69124,69.42897,312.03005,12.7501303,0.0450375,-0.0450375,-7.33369,0.0386537,-0.0386537,-10.4299,0.0478803,-0.0478803,144.166,0.436,-0.434,10.728,0.063,-0.063,10.077,0.004,-0.004,8.975,0.046,-0.046,8.662,0.029,-0.029,8.588,0.022,-0.022,9.93355,0.000313,-0.000313,9.50898,0.006,-0.006,0,3,0,0,0
Kepler-680 b,Kepler-680,1,1,0,0,Transit,2016,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,0,3.68992629,0.0,2.42,0.0,6.44,0.0,2.5,0.0,5890.0,0.0,1.11,0.0,1.08,0.1,-0.06,0.0,0.197,0.0,4.38,0.0,15.45125,82.34558,70.69603,315.01101,10.6517557,0.0442019,-0.0442019,-0.135016,0.0457568,-0.0457568,-10.6509,0.0442016,-0.0442016,1492.48,54.79,-51.12,16.715,0.045,-0.045,15.321,0.286,-0.286,14.012,0.027,-0.027,13.72,0.029,-0.029,13.764,0.057,-0.057,15.2152,0.000357,-0.000357,14.7221,0.0063,-0.0063,0,0,0,0,0
Kepler-681 b,Kepler-681,1,1,0,0,Transit,2016,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,0,26.39435646,0.0,3.08,0.0,9.69,0.0,1.82,0.0,5021.0,0.0,0.76,0.0,0.8,0.04,-0.05,0.0,-0.457,0.0,4.58,0.0,16.98767,82.37394,71.87375,311.93294,20.3344874,0.0517792,-0.0517792,0.718207,0.0465836,-0.0465836,-20.3218,0.0517854,-0.0517854,686.923,11.227,-10.878,16.647,0.068,-0.068,15.584,0.103,-0.103,13.757,0.026,-0.026,13.272,0.031,-0.031,13.172,0.035,-0.035,15.2271,0.000372,-0.000372,14.6229,0.0061,-0.0061,0,0,0,0,0
Kepler-682 b,Kepler-682,1,1,0,0,Transit,2016,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,0,12.61190667,0.0,7.37,0.0,42.6,0.0,0.585,0.0,5559.0,0.0,0.89,0.0,0.92,0.04,-0.05,0.0,0.48,0.0,4.51,0.0,17.33766,82.77499,72.39063,312.0844,9.4599125,0.0458434,-0.0458434,-4.78358,0.0487819,-0.0487819,-8.16133,0.0447894,-0.0447894,1979.25,104.85,-95.0,16.367,0.068,-0.068,15.556,0.149,-0.149,13.942,0.026,-0.026,13.546,0.036,-0.036,13.478,0.042,-0.042,15.1172,0.000438,-0.000438,14.6048,0.0067,-0.0067,0,0,0,0,0
Kepler-683 b,Kepler-683,1,1,0,0,Transit,2016,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,0,2.53918318,0.0,1.97,0.0,4.54,0.0,3.26,0.0,5703.0,0.0,0.95,0.0,0.96,0.06,-0.06,0.0,-0.041,0.0,4.47,0.0,10.10013,70.51465,58.84865,303.88492,8.8262534,0.0544563,-0.0544563,-5.32853,0.0486474,-0.0486474,-7.0363,0.0575236,-0.0575236,1023.07,30.1905,-30.1905,15.55,0.067,-0.067,15.072,0.092,-0.092,13.812,0.025,-0.025,13.465,0.029,-0.029,13.358,0.037,-0.037,15.0008,0.000388,-0.000388,14.5076,0.0076,-0.0076,0,0,0,0,0
Kepler-684 b,Kepler-684,1,1,0,0,Transit,2016,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,0,6.77030201,0.0,3.36,0.0,11.2,0.0,1.62,0.0,5493.0,0.0,0.86,0.0,0.89,0.06,-0.06,0.0,0.209,0.0,4.53,0.0,10.66531,70.64665,59.32721,303.24737,7.0546271,0.0524964,-0.0524964,-1.14541,0.0497852,-0.0497852,-6.96102,0.0525679,-0.0525679,1731.27,89.345,-89.345,16.652,0.069,-0.069,15.695,0.126,-0.126,14.318,0.028,-0.028,13.91,0.036,-0.036,13.828,0.049,-0.049,15.5793,0.000409,-0.000409,15.0608,0.0074,-0.0074,0,0,0,0,0
Kepler-685 b,Kepler-685,1,1,0,0,Transit,2016,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,0,1.6255222,0.0,10.58,0.0,78.8,0.0,0.366,0.0,5963.0,0.0,1.16,0.0,1.11,0.11,-0.07,0.0,-0.051,0.0,4.36,0.0,8.63764,71.86863,58.77699,307.70417,6.6525234,0.0545067,-0.0545067,-0.298348,0.0452311,-0.0452311,-6.64583,0.0545238,-0.0545238,938.715,30.934,-30.934,15.341,0.067,-0.067,15.186,0.057,-0.057,13.656,0.026,-0.026,13.355,0.029,-0.029,13.307,0.037,-0.037,15.0191,0.0004,-0.0004,14.4669,0.0111,-0.0111,0,0,0,0,0
Kepler-686 b,Kepler-686,1,1,0,0,Transit,2016,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,0,1.59474546,0.0,12.15,0.0,,,,,5649.0,0.0,0.92,0.0,0.94,0.06,-0.06,0.0,0.108,0.0,4.49,0.0,14.99461,69.46155,61.1532,294.99098,4.2326462,0.059661,-0.059661,0.103523,0.0515089,-0.0515089,4.23138,0.0596655,-0.0596655,1490.94,67.81,-62.26,16.403,0.074,-0.074,16.02,0.126,-0.126,14.35,0.039,-0.039,13.941,0.044,-0.044,13.917,0.057,-0.057,15.5242,0.000448,-0.000448,15.0236,0.0071,-0.0071,0,0,0,0,0
Kepler-687 b,Kepler-687,1,1,0,0,Transit,2016,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,0,20.50586978,0.0,3.52,0.0,12.2,0.0,1.54,0.0,4841.0,0.0,0.73,0.0,0.77,0.04,-0.04,0.0,-0.567,0.0,4.6,0.0,12.14032,70.9172,60.50434,301.39659,5.3571442,0.0470238,-0.0470238,2.79555,0.0450574,-0.0450574,4.56989,0.0477388,-0.0477388,633.66,11.676,-11.267,16.871,0.067,-0.067,15.695,0.343,-0.343,13.842,0.024,-0.024,13.251,0.022,-0.022,13.216,0.034,-0.034,15.3943,0.000542,-0.000542,14.7501,0.0072,-0.0072,0,0,0,0,0
Kepler-688 b,Kepler-688,1,1,0,0,Transit,2016,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,0,3.89593684,0.0,9.76,0.0,68.7,0.0,0.406,0.0,5715.0,0.0,0.96,0.0,0.98,0.07,-0.07,0.0,-0.024,0.0,4.47,0.0,8.51634,72.949,59.42221,309.38283,1.5298436,0.0557496,-0.0557496,1.12777,0.0568969,-0.0568969,-1.03371,0.0543525,-0.0543525,1357.75,61.62,-56.58,16.159,0.07,-0.07,15.805,0.115,-0.115,14.364,0.033,-0.033,13.969,0.05,-0.05,13.924,0.066,-0.066,15.7323,0.000454,-0.000454,15.1748,0.0084,-0.0084,0,0,0,0,0
Kepler-689 b,Kepler-689,1,1,0,0,Transit,2016,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,0,22.36656079,0.0,2.89,0.0,8.7,0.0,1.98,0.0,5518.0,0.0,0.88,0.0,0.91,0.05,-0.06,0.0,-0.153,0.0,4.51,0.0,8.57962,73.15953,59.60978,309.60027,7.5249665,0.0575367,-0.0575367,3.25533,0.0596763,-0.0596763,-6.78439,0.0570327,-0.0570327,1131.73,50.56,-46.47,15.945,0.07,-0.07,15.938,0.137,-0.137,14.236,0.033,-0.033,13.849,0.049,-0.049,13.714,0.051,-0.051,15.592,0.000452,-0.000452,15.0371,0.0088,-0.0088,0,0,0,0,0
Kepler-69 b,Kepler-69,1,2,0,0,Transit,2013,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,0,13.722341,0.0,2.24,0.0,5.65,0.0,2.76,0.0,5638.0,0.0,0.93,0.0,0.81,0.09,-0.08,0.0,-0.097,0.0,4.4,0.0,11.99414,77.48226,64.99488,311.46367,11.7957421,0.0276391,-0.0276391,-9.70371,0.0272791,-0.0272791,-6.70653,0.0283779,-0.0283779,730.625,7.6555,-7.6555,14.655,0.027,-0.027,13.866,0.092,-0.092,12.631,0.019,-0.019,12.284,0.019,-0.019,12.234,0.026,-0.026,13.712,0.000192,-0.000192,13.2617,0.0089,-0.0089,0,0,0,0,0
Kepler-69 c,Kepler-69,1,2,0,0,Transit,2013,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,0,242.4613,0.0,1.71,0.0,3.57,0.0,3.92,0.0,5638.0,0.0,0.93,0.0,0.81,0.09,-0.08,0.0,-0.097,0.0,4.4,0.0,11.99414,77.48226,64.99488,311.46367,11.7957421,0.0276391,-0.0276391,-9.70371,0.0272791,-0.0272791,-6.70653,0.0283779,-0.0283779,730.625,7.6555,-7.6555,14.655,0.027,-0.027,13.866,0.092,-0.092,12.631,0.019,-0.019,12.284,0.019,-0.019,12.234,0.026,-0.026,13.712,0.000192,-0.000192,13.2617,0.0089,-0.0089,0,0,0,0,0
Kepler-690 b,Kepler-690,1,1,0,0,Transit,2016,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,0,7.74809437,0.0,5.95,0.0,29.6,0.0,0.772,0.0,5913.0,0.0,1.16,0.0,1.11,0.1,-0.06,0.0,0.141,0.0,4.35,0.0,8.84735,73.30113,59.90155,309.44464,3.8763537,0.0582928,-0.0582928,2.92058,0.0583056,-0.0583056,2.54879,0.058276,-0.058276,1665.31,116.04,-102.07,16.692,0.0,0.0,15.701,0.081,-0.081,14.412,0.036,-0.036,14.113,0.054,-0.054,14.106,0.074,-0.074,15.6723,0.000502,-0.000502,15.1513,0.0092,-0.0092,0,0,0,0,0
Kepler-691 b,Kepler-691,1,1,0,0,Transit,2016,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,0,8.114379,0.0,2.09,0.0,5.02,0.0,3.02,0.0,3715.0,0.0,0.5,0.0,0.53,0.02,-0.02,0.0,-1.305,0.0,4.76,0.0,12.86404,71.56598,61.4561,301.11148,58.6682582,0.0773607,-0.0773607,-45.7941,0.0751607,-0.0751607,-36.6724,0.0806717,-0.0806717,279.115,3.434,-3.353,18.361,0.165,-0.165,16.6,0.2,-0.2,13.405,0.023,-0.023,12.723,0.023,-0.023,12.492,0.025,-0.025,15.8385,0.000694,-0.000694,14.7529,0.0075027,-0.0075027,0,0,0,0,0
Kepler-692 b,Kepler-692,1,1,0,0,Transit,2016,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,0,21.81293494,0.0,3.11,0.0,9.85,0.0,1.8,0.0,5440.0,0.0,0.86,0.0,0.9,0.05,-0.05,0.0,-0.233,0.0,4.53,0.0,8.83378,73.74718,60.18907,310.11423,8.78621,0.0635952,-0.0635952,-4.62671,0.0663042,-0.0663042,-7.46934,0.0625247,-0.0625247,991.336,34.354,-32.163,16.523,0.163,-0.163,15.676,0.126,-0.126,14.204,0.026,-0.026,13.776,0.031,-0.031,13.702,0.049,-0.049,15.5495,0.00048,-0.00048,14.9817,0.0067,-0.0067,0,0,0,0,0
Kepler-693 b,Kepler-693,2,1,0,0,Transit,2016,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,0,15.37563332,0.0,10.18,0.0,73.8,0.0,0.384,0.0,4881.0,0.0,0.72,0.0,0.76,0.04,-0.05,0.0,-0.427,0.0,4.61,0.0,16.89476,70.14768,62.7686,292.44426,5.3423964,0.0855745,-0.0855745,-4.52261,0.0823025,-0.0823025,-2.8438,0.0933394,-0.0933394,1151.51,57.13,-52.06,17.743,0.073,-0.073,16.7286,0.0459,-0.0459,14.877,0.038,-0.038,14.359,0.046,-0.046,14.178,0.071,-0.071,16.414,0.000619,-0.000619,15.7592,0.0066,-0.0066,0,0,0,0,0
Kepler-694 b,Kepler-694,1,1,0,0,Transit,2016,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,0,6.36584161,0.0,2.8,0.0,8.25,0.0,2.07,0.0,5700.0,0.0,0.95,0.0,0.97,0.05,-0.06,0.0,-0.078,0.0,4.47,0.0,11.41789,72.70698,61.32076,304.91543,10.6573253,0.0443399,-0.0443399,4.70402,0.0447186,-0.0447186,-9.56299,0.0442478,-0.0442478,1023.06,30.36,-28.68,16.11,0.089,-0.089,15.284,0.149,-0.149,13.882,0.026,-0.026,13.522,0.022,-0.022,13.493,0.035,-0.035,15.0857,0.000376,-0.000376,14.5866,0.0085,-0.0085,0,0,0,0,0
Kepler-695 b,Kepler-695,1,1,0,0,Transit,2016,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,0,3.04033042,0.0,9.21,0.0,62.3,0.0,0.438,0.0,5181.0,0.0,0.8,0.0,0.84,0.05,-0.05,0.0,-0.159,0.0,4.57,0.0,6.15922,76.04946,59.56861,317.01417,4.3123058,0.0468769,-0.0468769,4.3106,0.0468758,-0.0468758,-0.121281,0.0482638,-0.0482638,842.947,21.529,-20.501,16.223,0.039,-0.039,15.262,0.275,-0.275,13.514,0.028,-0.028,13.016,0.031,-0.031,12.922,0.03,-0.03,15.1132,0.000342,-0.000342,14.4592,0.0083,-0.0083,0,0,0,0,0
Kepler-696 b,Kepler-696,1,1,0,0,Transit,2016,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,0,4.19042557,0.0,6.14,0.0,31.3,0.0,0.743,0.0,5903.0,0.0,1.08,0.0,1.06,0.08,-0.07,0.0,0.151,0.0,4.39,0.0,10.15154,74.17127,61.44059,308.90919,8.8037417,0.0456932,-0.0456932,-2.50812,0.0459168,-0.0459168,-8.43891,0.0456734,-0.0456734,1416.44,55.635,-55.635,16.234,0.049,-0.049,15.308,0.126,-0.126,14.069,0.025,-0.025,13.77,0.027,-0.027,13.624,0.043,-0.043,15.2389,0.000362,-0.000362,14.7449,0.0097,-0.0097,0,0,0,0,0
Kepler-697 b,Kepler-697,1,1,0,0,Transit,2016,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,0,3.70987065,0.0,4.13,0.0,16.0,0.0,1.25,0.0,5513.0,0.0,0.88,0.0,0.92,0.05,-0.06,0.0,-0.025,0.0,4.52,0.0,16.82858,71.28544,63.63979,293.90075,10.5927354,0.0649012,-0.0649012,2.86796,0.0574469,-0.0574469,-10.1971,0.0654546,-0.0654546,1277.33,49.55,-46.03,16.619,0.0,0.0,15.888,0.126,-0.126,14.306,0.027,-0.027,13.934,0.035,-0.035,13.785,0.042,-0.042,15.5462,0.000496,-0.000496,15.0175,0.0066,-0.0066,0,0,0,0,0
Kepler-698 b,Kepler-698,1,1,0,0,Transit,2016,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,0,16.32976218,0.0,3.68,0.0,13.1,0.0,1.44,0.0,5612.0,0.0,0.91,0.0,0.94,0.05,-0.06,0.0,0.388,0.0,4.5,0.0,13.59929,72.6536,62.73903,301.37835,3.9459355,0.0498913,-0.0498913,-0.678581,0.0465328,-0.0465328,-3.88715,0.0499901,-0.0499901,1995.57,107.0,-96.84,16.042,0.045,-0.045,15.716,0.217,-0.217,14.255,0.03,-0.03,13.87,0.037,-0.037,13.799,0.05,-0.05,15.432,0.000407,-0.000407,14.9182,0.0071,-0.0071,0,0,0,0,0
Kepler-7 b,Kepler-7,1,1,0,0,Transit,2009,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,0,4.8854892,0.0,18.181,0.0,140.16303,0.0,0.14,0.0,5933.0,0.0,1.97,0.0,1.36,0.03,-0.03,0.0,0.696,0.0,3.98,0.0,13.4628,72.4778,62.5204,301.36007,21.1570086,0.0418855,-0.0418855,-2.95592,0.0501849,-0.0501849,-20.9495,0.0417035,-0.0417035,922.562,20.605,-19.739,13.62,0.029,-0.029,13.008,0.103,-0.103,11.833,0.02,-0.02,11.601,0.022,-0.022,11.535,0.02,-0.02,12.8649,0.000318,-0.000318,12.4532,0.0063,-0.0063,1,1,0,0,0
Kepler-700 b,Kepler-700,1,1,0,0,Transit,2016,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,0,80.8720639,0.0,5.99,0.0,30.0,0.0,0.767,0.0,5692.0,0.0,0.96,0.0,0.98,0.04,-0.05,0.0,0.23,0.0,4.47,0.0,14.63554,72.47787,63.26611,299.37726,8.5188859,0.0557263,-0.0557263,-7.79817,0.0557323,-0.0557323,-3.42928,0.0556951,-0.0556951,1491.76,60.51,-56.05,16.1,0.073,-0.073,15.202,0.206,-0.206,13.935,0.028,-0.028,13.585,0.036,-0.036,13.569,0.038,-0.038,15.1916,0.000393,-0.000393,14.6754,0.0065,-0.0065,0,0,0,0,0
Kepler-701 b,Kepler-701,1,1,0,0,Transit,2016,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,0,10.35533177,0.0,2.84,0.0,8.45,0.0,2.03,0.0,5343.0,0.0,0.84,0.0,0.88,0.04,-0.05,0.0,-0.276,0.0,4.54,0.0,13.40611,73.11839,62.95565,302.3451,7.2026586,0.041188,-0.041188,4.77091,0.0389188,-0.0389188,5.39599,0.0428783,-0.0428783,774.152,13.379,-12.941,16.021,0.017,-0.017,15.056,0.252,-0.252,13.656,0.026,-0.026,13.279,0.03,-0.03,13.141,0.033,-0.033,14.9683,0.000403,-0.000403,14.4253,0.0068,-0.0068,0,0,0,0,0
Kepler-702 b,Kepler-702,1,1,0,0,Transit,2016,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,0,10.52629406,0.0,9.17,0.0,61.8,0.0,0.44,0.0,5419.0,0.0,0.86,0.0,0.9,0.05,-0.05,0.0,-0.159,0.0,4.53,0.0,10.13841,74.77781,61.83792,309.84779,7.5530087,0.0497923,-0.0497923,3.03379,0.0513148,-0.0513148,-6.91694,0.049494,-0.049494,992.071,29.1865,-29.1865,16.483,0.068,-0.068,15.437,0.103,-0.103,13.968,0.026,-0.026,13.532,0.027,-0.027,13.492,0.041,-0.041,15.3098,0.000413,-0.000413,14.7404,0.0076,-0.0076,0,0,0,0,0
Kepler-703 b,Kepler-703,1,1,0,0,Transit,2016,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,0,4.58352176,0.0,8.2,0.0,51.1,0.0,0.509,0.0,6185.0,0.0,1.27,0.0,1.18,0.2,-0.12,0.0,0.067,0.0,4.29,0.0,6.71348,76.79525,60.45424,317.55133,2.2764187,0.0502628,-0.0502628,-2.19336,0.0499808,-0.0499808,0.609306,0.0537837,-0.0537837,1156.83,48.89,-45.14,16.842,0.068,-0.068,15.599,0.183,-0.183,13.981,0.026,-0.026,13.644,0.03,-0.03,13.62,0.036,-0.036,15.2533,0.000579,-0.000579,14.727,0.0104,-0.0104,0,0,0,0,0
Kepler-704 b,Kepler-704,1,1,0,0,Transit,2016,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,0,3.76182115,0.0,2.61,0.0,7.32,0.0,2.26,0.0,5616.0,0.0,0.96,0.0,0.97,0.04,-0.05,0.0,0.036,0.0,4.46,0.0,17.38918,71.60711,64.20642,293.227,8.4403889,0.0537656,-0.0537656,-4.99901,0.0518901,-0.0518901,-6.80074,0.0547523,-0.0547523,1228.83,45.68,-42.57,16.256,0.0,0.0,15.454,0.046,-0.046,13.955,0.03,-0.03,13.626,0.038,-0.038,13.557,0.05,-0.05,15.2487,0.000433,-0.000433,14.7176,0.0067,-0.0067,0,0,0,0,0
Kepler-705 b,Kepler-705,1,1,0,0,Transit,2016,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,0,56.0560538,0.0,2.11,0.0,5.1,0.0,2.98,0.0,3722.0,0.0,0.51,0.0,0.53,0.02,-0.02,0.0,-1.385,0.0,4.75,0.0,13.13184,73.44989,63.01589,303.26796,21.159509,0.090556,-0.090556,10.7519,0.087044,-0.087044,-18.2242,0.0917469,-0.0917469,276.881,3.858,-3.755,17.895,0.167,-0.167,16.331,1.133,-1.133,13.446,0.022,-0.022,12.778,0.025,-0.025,12.536,0.024,-0.024,15.8521,0.00072,-0.00072,14.7738,0.0074292,-0.0074292,0,0,0,0,0
Kepler-706 b,Kepler-706,1,1,0,0,Transit,2016,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,0,41.40831347,0.0,13.17,0.0,,,,,5394.0,0.0,0.84,0.0,0.87,0.04,-0.05,0.0,-0.218,0.0,4.54,0.0,11.67494,74.30997,62.62707,306.85052,17.0260905,0.0443218,-0.0443218,-17.0196,0.0443185,-0.0443185,-0.470078,0.0484362,-0.0484362,886.667,19.634,-19.634,16.232,0.009,-0.009,15.274,0.08,-0.08,13.805,0.025,-0.025,13.413,0.025,-0.025,13.307,0.038,-0.038,15.1663,0.000554,-0.000554,14.6244,0.0068,-0.0068,0,0,0,0,0
